1,1
2,2
130,3
258,4
386,5
514,6
2,1
3,2
131,3
259,4
387,5
515,6
3,1
4,2
132,3
260,4
388,5
516,6
4,1
5,2
133,3
261,4
389,5
517,6
5,1
6,2
134,3
262,4
390,5
518,6
6,1
7,2
135,3
263,4
391,5
519,6
7,1
8,2
136,3
264,4
392,5
520,6
8,1
9,2
137,3
265,4
393,5
521,6
9,1
10,2
138,3
266,4
394,5
522,6
10,1
11,2
139,3
267,4
395,5
523,6
11,1
12,2
140,3
268,4
396,5
524,6
12,1
13,2
141,3
269,4
397,5
525,6
13,1
14,2
142,3
270,4
398,5
526,6
14,1
15,2
143,3
271,4
399,5
527,6
15,1
16,2
144,3
272,4
400,5
528,6
16,1
17,2
145,3
273,4
401,5
529,6
17,1
18,2
146,3
274,4
402,5
530,6
18,1
19,2
147,3
275,4
403,5
531,6
19,1
20,2
148,3
276,4
404,5
532,6
20,1
21,2
149,3
277,4
405,5
533,6
21,1
22,2
150,3
278,4
406,5
534,6
22,1
23,2
151,3
279,4
407,5
535,6
23,1
24,2
152,3
280,4
408,5
536,6
24,1
25,2
153,3
281,4
409,5
537,6
25,1
26,2
154,3
282,4
410,5
538,6
26,1
27,2
155,3
283,4
411,5
539,6
27,1
28,2
156,3
284,4
412,5
540,6
28,1
29,2
157,3
285,4
413,5
541,6
29,1
30,2
158,3
286,4
414,5
542,6
30,1
31,2
159,3
287,4
415,5
543,6
31,1
32,2
160,3
288,4
416,5
544,6
32,1
33,2
161,3
289,4
417,5
545,6
33,1
34,2
162,3
290,4
418,5
546,6
34,1
35,2
163,3
291,4
419,5
547,6
35,1
36,2
164,3
292,4
420,5
548,6
36,1
37,2
165,3
293,4
421,5
549,6
37,1
38,2
166,3
294,4
422,5
550,6
38,1
39,2
167,3
295,4
423,5
551,6
39,1
40,2
168,3
296,4
424,5
552,6
40,1
41,2
169,3
297,4
425,5
553,6
41,1
42,2
170,3
298,4
426,5
554,6
42,1
43,2
171,3
299,4
427,5
555,6
43,1
44,2
172,3
300,4
428,5
556,6
44,1
45,2
173,3
301,4
429,5
557,6
45,1
46,2
174,3
302,4
430,5
558,6
46,1
47,2
175,3
303,4
431,5
559,6
47,1
48,2
176,3
304,4
432,5
560,6
48,1
49,2
177,3
305,4
433,5
561,6
49,1
50,2
178,3
306,4
434,5
562,6
50,1
51,2
179,3
307,4
435,5
563,6
51,1
52,2
180,3
308,4
436,5
564,6
52,1
53,2
181,3
309,4
437,5
565,6
53,1
54,2
182,3
310,4
438,5
566,6
54,1
55,2
183,3
311,4
439,5
567,6
55,1
56,2
184,3
312,4
440,5
568,6
56,1
57,2
185,3
313,4
441,5
569,6
57,1
58,2
186,3
314,4
442,5
570,6
58,1
59,2
187,3
315,4
443,5
571,6
59,1
60,2
188,3
316,4
444,5
572,6
60,1
61,2
189,3
317,4
445,5
573,6
61,1
62,2
190,3
318,4
446,5
574,6
62,1
63,2
191,3
319,4
447,5
575,6
63,1
64,2
192,3
320,4
448,5
576,6
64,1
65,2
193,3
321,4
449,5
577,6
65,1
66,2
194,3
322,4
450,5
578,6
66,1
67,2
195,3
323,4
451,5
579,6
67,1
68,2
196,3
324,4
452,5
580,6
68,1
69,2
197,3
325,4
453,5
581,6
69,1
70,2
198,3
326,4
454,5
582,6
70,1
71,2
199,3
327,4
455,5
583,6
71,1
72,2
200,3
328,4
456,5
584,6
72,1
73,2
201,3
329,4
457,5
585,6
73,1
74,2
202,3
330,4
458,5
586,6
74,1
75,2
203,3
331,4
459,5
587,6
75,1
76,2
204,3
332,4
460,5
588,6
76,1
77,2
205,3
333,4
461,5
589,6
77,1
78,2
206,3
334,4
462,5
590,6
78,1
79,2
207,3
335,4
463,5
591,6
79,1
80,2
208,3
336,4
464,5
592,6
80,1
81,2
209,3
337,4
465,5
593,6
81,1
82,2
210,3
338,4
466,5
594,6
82,1
83,2
211,3
339,4
467,5
595,6
83,1
84,2
212,3
340,4
468,5
596,6
84,1
85,2
213,3
341,4
469,5
597,6
85,1
86,2
214,3
342,4
470,5
598,6
86,1
87,2
215,3
343,4
471,5
599,6
87,1
88,2
216,3
344,4
472,5
600,6
88,1
89,2
217,3
345,4
473,5
601,6
89,1
90,2
218,3
346,4
474,5
602,6
90,1
91,2
219,3
347,4
475,5
603,6
91,1
92,2
220,3
348,4
476,5
604,6
92,1
93,2
221,3
349,4
477,5
605,6
93,1
94,2
222,3
350,4
478,5
606,6
94,1
95,2
223,3
351,4
479,5
607,6
95,1
96,2
