1,1
2,2
66,3
130,4
194,5
258,6
2,1
3,2
67,3
131,4
195,5
259,6
3,1
4,2
68,3
132,4
196,5
260,6
4,1
5,2
69,3
133,4
197,5
261,6
5,1
6,2
70,3
134,4
198,5
262,6
6,1
7,2
71,3
135,4
199,5
263,6
7,1
8,2
72,3
136,4
200,5
264,6
8,1
9,2
73,3
137,4
201,5
265,6
9,1
10,2
74,3
138,4
202,5
266,6
10,1
11,2
75,3
139,4
203,5
267,6
11,1
12,2
76,3
140,4
204,5
268,6
12,1
13,2
77,3
141,4
205,5
269,6
13,1
14,2
78,3
142,4
206,5
270,6
14,1
15,2
79,3
143,4
207,5
271,6
15,1
16,2
80,3
144,4
208,5
272,6
16,1
17,2
81,3
145,4
209,5
273,6
17,1
18,2
82,3
146,4
210,5
274,6
18,1
19,2
83,3
147,4
211,5
275,6
19,1
20,2
84,3
148,4
212,5
276,6
20,1
21,2
85,3
149,4
213,5
277,6
21,1
22,2
86,3
150,4
214,5
278,6
22,1
23,2
87,3
151,4
215,5
279,6
23,1
24,2
88,3
152,4
216,5
280,6
24,1
25,2
89,3
153,4
217,5
281,6
25,1
26,2
90,3
154,4
218,5
282,6
26,1
27,2
91,3
155,4
219,5
283,6
27,1
28,2
92,3
156,4
220,5
284,6
28,1
29,2
93,3
157,4
221,5
285,6
29,1
30,2
94,3
158,4
222,5
286,6
30,1
31,2
95,3
159,4
223,5
287,6
31,1
32,2
96,3
160,4
224,5
288,6
32,1
33,2
97,3
161,4
225,5
289,6
33,1
34,2
98,3
162,4
226,5
290,6
34,1
35,2
99,3
163,4
227,5
291,6
35,1
36,2
100,3
164,4
228,5
292,6
36,1
37,2
101,3
165,4
229,5
293,6
37,1
38,2
102,3
166,4
230,5
294,6
38,1
39,2
103,3
167,4
231,5
295,6
39,1
40,2
104,3
168,4
232,5
296,6
40,1
41,2
105,3
169,4
233,5
297,6
41,1
42,2
106,3
170,4
234,5
298,6
42,1
43,2
107,3
171,4
235,5
299,6
43,1
44,2
108,3
172,4
236,5
300,6
44,1
45,2
109,3
173,4
237,5
301,6
45,1
46,2
110,3
174,4
238,5
302,6
46,1
47,2
111,3
175,4
239,5
303,6
47,1
48,2
112,3
176,4
240,5
304,6
48,1
49,2
113,3
177,4
241,5
305,6
49,1
50,2
114,3
178,4
242,5
306,6
50,1
51,2
115,3
179,4
243,5
307,6
51,1
52,2
116,3
180,4
244,5
308,6
52,1
53,2
117,3
181,4
245,5
309,6
53,1
54,2
118,3
182,4
246,5
310,6
54,1
55,2
119,3
183,4
247,5
311,6
55,1
56,2
120,3
184,4
248,5
312,6
56,1
57,2
121,3
185,4
249,5
313,6
57,1
58,2
122,3
186,4
250,5
314,6
58,1
59,2
123,3
187,4
251,5
315,6
59,1
60,2
124,3
188,4
252,5
316,6
60,1
61,2
125,3
189,4
253,5
317,6
61,1
62,2
126,3
190,4
254,5
318,6
62,1
63,2
127,3
191,4
255,5
319,6
63,1
64,2
128,3
192,4
256,5
320,6
64,1
65,2
129,3
193,4
257,5
321,6
